status,original_corrupted_path,new_sanitized_path_or_error
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.proteomexchange.org\,,breast_nanomedicine_portals_to_crawl.master",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.proteomexchange.org\sanitized_1c50fe7e0cb9.master
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.sha256,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\sanitized_1d7eacf63eca.sha256
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\pride\archive\projects\PXD047470,,breast_nanomedicine_datasets_extended.master",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\pride\archive\projects\sanitized_320259b3f621.master
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\pride\archive\projects\,,nanomedicine_datasets.txt",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\pride\archive\projects\sanitized_a517abae4923.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\biostudies\arrayexpress,,breast_nanomedicine_portals_to_crawl.master",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\www.ebi.ac.uk\biostudies\sanitized_a6add568e6e3.master
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.source\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.source.txt,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.source\sanitized_163d4efeae03.txt
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.sha256.source.txt,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\sanitized_698e5df97796.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\singlecell.broadinstitute.org\single_cell\study\SCP1039\a-single-cell-and-spatially-resolved-atlas-of-human-breast-cancers,SINGLECELL,portal,Download",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\singlecell.broadinstitute.org\single_cell\study\SCP1039\sanitized_280dcf61a136
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.sha256,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\sanitized_612ba7402461.sha256
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf.sha256.sha256,D:\breast_cancer_project_root\data\01_raw\BRCA\Early breast cancer ESMO Clinical Practice Guideline for diagnosis treatment and follow up.pdf\sanitized_9447d6406d75.sha256
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\proteomic.datacommons.cancer.gov\pdc\browse,PROTEOMICS,portal,Export",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\proteomic.datacommons.cancer.gov\pdc\sanitized_71067a6ef441
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\proteomic.datacommons.cancer.gov\pdc\browse,,fetch_nanomedicine_urls.txt",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\proteomic.datacommons.cancer.gov\pdc\sanitized_154a85eb728c.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\portal.gdc.cancer.gov\projects\TCGA-BRCA,TRANSCRIPTOMICS,portal,Use",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\portal.gdc.cancer.gov\projects\sanitized_4a09e9b600d7
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\portal.gdc.cancer.gov\projects\TCGA-BRCA,,fetch_nanomedicine_urls.txt",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\portal.gdc.cancer.gov\projects\sanitized_56b9901d1811.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\gdc.cancer.gov\about-data\publications\ATACseq-AWG,,fetch_nanomedicine_urls.txt",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\gdc.cancer.gov\about-data\publications\sanitized_a100354dd286.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\fairsharing.org\2979,,breast_nanomedicine_portals_to_crawl",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\https\fairsharing.org\sanitized_e5d08f2db02d
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\http\nanominer.cs.tut.fi,,breast_nanomedicine_datasets.txt",D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\http\sanitized_2ef27056e386.txt
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\http\nanominer.cs.tut.fi,","D:\breast_cancer_project_root\data\01_raw\NANOMEDICINE\http\sanitized_ecfff25efe3e.fi,"
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\DOCS\NCCN Framework for Resource Stratification of NCCN Guidelines  (NCCN FrameworkTM) Breast CancerNCCN Framework for Resource Stratification of NCCN Guidelines  (NCCN FrameworkTM) Breast Cancer core.pdf,D:\breast_cancer_project_root\data\01_raw\BRCA\DOCS\sanitized_0c508a380a5f.pdf
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\DOCS\ESMO Clinical Practice Guideline for the diagnosis, staging and treatment of patients with metastatic breast cancer.pdf",D:\breast_cancer_project_root\data\01_raw\BRCA\DOCS\sanitized_fd309308df3c.pdf
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\MISC\www_ebi_ac_uk,2025-09-02.source",D:\breast_cancer_project_root\data\01_raw\MISC\sanitized_10a5f245500a.source
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\MISC\www_ebi_ac_uk,2025-09-02",D:\breast_cancer_project_root\data\01_raw\MISC\sanitized_1901eb1c62b3
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05359783,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_e1ec9ad03e62
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05985551,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_3f11cede6d3d
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05939830,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_261644b0bf92
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT06169072,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_d92705c2ec85
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04233866,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_5e3e41ba0b00
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04722692,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_82d1d1020233
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05161507,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_93d598d1c1d3
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04138342,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_1de5c46b00dc
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01730833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_1faa59bd7093
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT03783364,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_a548f3d2b32b
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01938833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_88fed07dc125
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01336062,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_abf3cc27fa8c
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01207102,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_e8232e6556db
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01644890,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_da9305c16535
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00934895,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_0e2b7660aeae
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00662129,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_20f31706b4b1
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01090128,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_2417ba86e783
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00629499,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_addd1d1105f3
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00607438,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_a8a6978c1415
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00609791,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_4f891f37a39c
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00436709,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_38e6c0875001
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00110084,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_3e481630d510
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00254592,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\sanitized_d56567ee6105
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT06169072,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT06169072,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT06169072,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_b92b770167cf"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05985551,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT05985551,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05985551,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_5175112c5904"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05939830,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT05939830,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05939830,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_6595fa092ea5"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04722692,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT04722692,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04722692,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_308bd34d9c92"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05359783,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT05359783,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05359783,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_40ee35a3cd67"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05161507,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT05161507,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT05161507,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_789270768e57"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01644890,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01644890,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01644890,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_d57b2b97a0c0"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01730833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01730833,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01730833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_84b2572aa2af"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04138342,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT04138342,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04138342,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_e7a2f999bd77"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT03783364,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT03783364,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT03783364,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_b5ba937bbfbb"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04233866,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT04233866,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT04233866,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_bcf26e2e7be6"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01938833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01938833,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01938833,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_1b45ff3494fe"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01336062,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01336062,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01336062,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_1fdcbc4cd1be"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01207102,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01207102,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01207102,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_f5b209962526"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01090128,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT01090128,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT01090128,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_d2a49e7608c2"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00934895,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00934895,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00934895,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_f60951b96019"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00662129,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00662129,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00662129,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_5b1fe7e87675"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00629499,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00629499,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00629499,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_cd6af5dd82c8"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00436709,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00436709,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00436709,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_9d38c38e140e"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00609791,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00609791,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00609791,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_ddca6dd0f765"
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00607438,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\NCT00607438,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\clinicaltrials.gov\study_NCT00607438,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_e966ea9869a9"
